dataset,model,baseline_method,n_matched,n_bootstrap,metric,delta_mean,ci_low,ci_high,p_positive,significant_positive,significant_negative,skip_reason
triviaqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,Brier,0.0770894788031623,0.06314544572127137,0.09167431589287775,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUROC,0.03353565735099129,0.015440612749605983,0.052395894317154405,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUPRC,0.021380130404675235,0.0110914341022775,0.0324405230408483,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUARC,0.016949194444652593,0.008653161644084018,0.025667866173130972,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,ECE,0.1257006594717052,0.09643299095595612,0.14747640087354513,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,Brier,0.06048884039458635,0.04606497065890383,0.07436057371909871,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUROC,0.153395225737885,0.12940811013248163,0.1872866019533,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUPRC,0.11804950173313866,0.0922857867765973,0.13387536981907583,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUARC,0.09873577914728704,0.0754878411963123,0.11264592657412131,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,ECE,0.15522661500512203,0.12222581165407143,0.17835267087561285,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,Brier,0.08587329019377121,0.07012636304604294,0.10096105137571208,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUROC,0.03609329776970649,0.019831558588771173,0.05278054655144368,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUPRC,0.03350415645171034,0.016222259840365044,0.04123812457473896,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUARC,0.026538914481787024,0.012877483863744505,0.0328871351872306,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,ECE,0.12551253706946924,0.09683810095373845,0.14915028968939423,1.0,True,False,
triviaqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,Brier,0.061414064548325015,0.047427790654734105,0.0738690696805074,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,500,1000,AUROC,0.0630500649256962,0.02830526299487941,0.10060731767744376,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,500,1000,AUPRC,0.04575834618978081,0.006271779725751855,0.09352013901553001,0.988,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,500,1000,AUARC,0.033316591601099343,0.006902917420473563,0.06411057567701058,0.993,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,500,1000,ECE,0.1861394593157753,0.1424932728275908,0.22264070631965993,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,500,1000,Brier,0.10256950860690747,0.07276468281911834,0.13093757975458678,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,500,1000,AUROC,0.0630500649256962,0.029822282146472638,0.1032288997171577,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,500,1000,AUPRC,0.04575834618978081,0.004859429962555577,0.09121732808967324,0.986,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,500,1000,AUARC,0.033316591601099343,0.00612341505654458,0.06376046892095952,0.991,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,500,1000,ECE,0.1861394593157753,0.14008265365762512,0.2244486282115247,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,500,1000,Brier,0.10256950860690747,0.07507175030031321,0.132062340404704,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,500,1000,AUROC,0.08581413616762057,0.04860722294010337,0.12230055915084762,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,500,1000,AUPRC,0.09798186725764924,0.046012925912044526,0.15102385966876825,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,500,1000,AUARC,0.06819655372399025,0.03317416057755635,0.10510466139634302,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,500,1000,ECE,0.07731546797261633,0.03220021228949879,0.11164221008084088,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,last_layer_mlp,500,1000,Brier,0.05506572663486667,0.03303695227639566,0.07647937753952251,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,500,1000,AUROC,0.07996280799628075,0.04777130611465904,0.1153635641367719,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,500,1000,AUPRC,0.08818391249306334,0.037089146076720036,0.1373279329815007,0.999,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,500,1000,AUARC,0.0611015316697302,0.027011482032963885,0.09711624690808816,0.999,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,500,1000,ECE,0.1429597265392833,0.0953210251307238,0.17915619741297326,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,500,1000,Brier,0.08450418399957774,0.06108924486764282,0.11041242912022693,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,500,1000,AUROC,0.17698263838791906,0.11143049276884935,0.21791971488638895,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,500,1000,AUPRC,0.14178201208399854,0.07841788201396865,0.18457674031487192,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,500,1000,AUARC,0.10685643397132749,0.06084479726734967,0.137055840751311,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,500,1000,ECE,0.2970861016599523,0.2436110219803086,0.32532668484359534,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,500,1000,Brier,0.20171042913487866,0.1636598941257924,0.2384105558077873,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,500,1000,AUROC,0.06439667195690868,0.03161208505170078,0.10118224620096344,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,500,1000,AUPRC,0.0709826313225842,0.027707353527073528,0.11739167043355345,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,500,1000,AUARC,0.048696358541756135,0.019223294351219757,0.07997612166488623,1.0,True,False,
ambigqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,500,1000,ECE,0.022775475057807346,-0.006951426976251803,0.05698473518061762,0.939,False,False,
ambigqa__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,500,1000,Brier,0.03192094122363093,0.016905269568597683,0.048037529724068995,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,242,1000,AUROC,0.048645660585959094,-0.012821071914358755,0.09188501015402385,0.928,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,242,1000,AUPRC,0.02274179001599741,-0.03410237577057795,0.08820725783004706,0.792,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,242,1000,AUARC,0.01812112811140587,-0.023784511178002402,0.06211149461281866,0.812,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,242,1000,ECE,0.16742203985432202,0.07344652257073087,0.2384319018863742,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,242,1000,Brier,0.0923467090470391,0.03618027023676663,0.14174141638945156,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,242,1000,AUROC,0.048645660585959094,-0.015896035952696425,0.09472076331563117,0.921,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,242,1000,AUPRC,0.02274179001599741,-0.036841877202554975,0.08888838010226434,0.78,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,242,1000,AUARC,0.01812112811140587,-0.026388084671057674,0.0631024610169957,0.8,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,242,1000,ECE,0.16742203985432202,0.07370723366107043,0.23442031630533097,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,242,1000,Brier,0.0923467090470391,0.03897014865978317,0.1445370848933879,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,last_layer_mlp,242,1000,AUROC,-0.013474295190713081,-0.06279545195282203,0.030121586012787298,0.229,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,last_layer_mlp,242,1000,AUPRC,-0.029277216749114765,-0.06085466051456029,0.011366707992262134,0.086,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,last_layer_mlp,242,1000,AUARC,-0.01909441137432588,-0.04281672392450288,0.009110599099581215,0.1,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,last_layer_mlp,242,1000,ECE,0.12477497602822002,0.04306826914477441,0.19118452723511223,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,last_layer_mlp,242,1000,Brier,0.05229222486716781,0.00766299201940718,0.09957918390645741,0.99,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,242,1000,AUROC,0.07075732448866778,0.007378161854454973,0.12614590607872736,0.987,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,242,1000,AUPRC,0.033289279922702475,-0.026936555453149647,0.09277305912490835,0.879,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,242,1000,AUARC,0.0268930835129243,-0.015800773175508587,0.06815392291880885,0.909,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,242,1000,ECE,0.2067314978833253,0.12980424887517558,0.2640476922231809,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,242,1000,Brier,0.13256951179014695,0.08487368585157935,0.18487413144166714,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,242,1000,AUROC,0.11055831951354333,0.025930218269985858,0.17203745427229977,0.997,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,242,1000,AUPRC,0.04071796477167755,-0.016029178678733325,0.11285226798009187,0.939,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,242,1000,AUARC,0.03757595940076619,-0.007123429323229537,0.0869264017480708,0.96,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,242,1000,ECE,0.20597093137826217,0.12862992262096076,0.2505854970832646,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,242,1000,Brier,0.1338351041301151,0.08735779954142794,0.1831352474668614,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,242,1000,AUROC,-0.013474295190713081,-0.06258172781307658,0.027660462574122958,0.245,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,242,1000,AUPRC,-0.029277216749114765,-0.0649331229518492,0.012315228581201071,0.097,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,242,1000,AUARC,-0.01909441137432588,-0.04532740348853594,0.009879254126192071,0.108,False,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,242,1000,ECE,0.12477497602822002,0.041018615811343105,0.18553177040257335,1.0,True,False,
truthfulqa__validation_eval,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,242,1000,Brier,0.05229222486716781,0.005952694599058279,0.10107512721116989,0.989,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUROC,0.01609813333333321,-0.003936120767228215,0.025086999693307303,0.933,False,False,
mmlu__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUPRC,0.06135096371915105,0.02435958568204504,0.06156339500490652,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUARC,0.04392793484026447,0.0157908957883522,0.04274340567893279,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,ECE,0.2508784830113394,0.21963209970754644,0.26777463117565153,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,Brier,0.09461861230267288,0.07941425622318396,0.10964990959755581,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUROC,0.01609813333333321,-0.003934376286701073,0.024471088667688882,0.924,False,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUPRC,0.06135096371915105,0.02432569944956908,0.06124229038475852,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUARC,0.04392793484026447,0.015540812871829311,0.04284557865702656,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,ECE,0.2508784830113394,0.21982625663153568,0.2667684265138295,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,Brier,0.09461861230267288,0.08058460075191523,0.10956987856239656,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUROC,0.04471360000000002,0.03396347846403283,0.06524593932437943,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUPRC,0.08639023796758838,0.06056473881916813,0.10020797630877515,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUARC,0.06365148497685258,0.04288819873640348,0.07364988033879143,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,ECE,0.26711630592171776,0.23372288458428297,0.2851671761039494,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,Brier,0.10898734429358858,0.0935632132689471,0.12445123047293863,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUROC,0.061591466666666705,0.03758988143282158,0.06910122187422132,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUPRC,0.09041511889411913,0.05292538101058277,0.09215191763782013,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUARC,0.06724486246855399,0.03787167785635685,0.06747798358700738,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,ECE,0.2867875132735749,0.25323666775115816,0.30710812853930464,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,Brier,0.12879739429647846,0.1130092016687245,0.1447028783356087,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUROC,0.13209599999999988,0.13006868848883268,0.17693057208155924,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUPRC,0.16569385682657267,0.14166800740530305,0.19242004684932018,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUARC,0.1308798865652765,0.11073711995845088,0.15236299415957885,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,ECE,0.2985260191452289,0.26746747601345566,0.3119050425492714,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,Brier,0.14032009213993563,0.12433220698382731,0.1548960991583447,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUROC,0.004813866666666611,-0.0093383179749756,0.021889805296205243,0.773,False,False,
mmlu__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUPRC,0.03612519373625289,0.016447808568842006,0.053550038489223156,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUARC,0.02471084651389499,0.010360675569830589,0.037706660980827075,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,ECE,0.2543975481111358,0.22091528693350299,0.27165132541219605,1.0,True,False,
mmlu__validation,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,Brier,0.09400992863460755,0.07952688437893013,0.10943460948547708,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUROC,0.08746071478236683,0.051430055983202064,0.1326975072590223,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUPRC,0.0499423762158675,0.020408378919439404,0.087879152174211,0.999,True,False,
wmt__test,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,AUARC,0.04201385461181392,0.019018459042098167,0.07251008760319902,0.999,True,False,
wmt__test,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,ECE,0.2090023032572777,0.20397269841918633,0.21274748566289253,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,best_fixed_layer_mlp,2000,1000,Brier,0.05559927986211599,0.047584285965203546,0.06318151140329369,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUROC,0.08055346961479626,0.04152297594819259,0.1269714408416773,0.999,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUPRC,0.03643367588279128,0.0032961612117363946,0.07377683993807353,0.984,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,AUARC,0.03170055042230113,0.0068608918751714544,0.05992721732520746,0.987,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,ECE,0.20893874071507762,0.20380294812393976,0.2127286412456731,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_middle_layer_mlp,2000,1000,Brier,0.055523328129826105,0.04805108031513648,0.06385351551837838,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUROC,0.09555972743707408,0.05745571470637767,0.14171487690000226,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUPRC,0.05026552841281301,0.020892092505280395,0.08831253890769615,0.999,True,False,
wmt__test,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,AUARC,0.042770696588118606,0.019484636140024374,0.07463808727221902,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,ECE,0.20900856982140847,0.2043805028443855,0.2128244274991569,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,last_layer_mlp,2000,1000,Brier,0.05560129660701987,0.048044983848711455,0.06316188432735084,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUROC,0.10025309414545958,0.06832041288538776,0.14750284336727898,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUPRC,0.0577792494906845,0.03178924093068083,0.0959157201356746,0.999,True,False,
wmt__test,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,AUARC,0.05075996505906061,0.029841802060885245,0.08080128510692224,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,ECE,0.20900797302990265,0.20401074574471875,0.21276142426206918,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,uniform_multilayer_mean_mlp,2000,1000,Brier,0.05560032074670884,0.047507044804407386,0.06372221219803449,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUROC,0.09802391878737315,0.060912597511236434,0.14014799028246142,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUPRC,0.05291783018597079,0.026181646910034568,0.08888573322589127,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,AUARC,0.04637717591519125,0.024701263917988162,0.07577257903307405,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,ECE,0.20900793756513902,0.204414859284875,0.21282209346625694,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,fixed_multilayer_concat_mlp,2000,1000,Brier,0.055599683004248696,0.0475068082705279,0.06346622776505004,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUROC,0.08055346961479626,0.03969381956346716,0.12125837584035708,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUPRC,0.03643367588279128,0.0019397100539065278,0.0732396077099845,0.98,True,False,
wmt__test,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,AUARC,0.03170055042230113,0.005637838236985201,0.0596172938068157,0.989,True,False,
wmt__test,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,ECE,0.20893874071507762,0.20361934761735978,0.21267177236430995,1.0,True,False,
wmt__test,Llama-3.1-8B-Instruct,oracle_best_fixed_layer,2000,1000,Brier,0.055523328129826105,0.04776238301567493,0.06312104161925336,1.0,True,False,
